team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,wides,batter_runs,extra_runs,total_runs,byes,noballs,review_by,review_umpire,review_batter,review_decision,review_type,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Sunrisers Hyderabad,18,4,0.1,5.7,mandatory,H Klaasen,Arshdeep Singh,S Arora,,1,0,1,,,,,,,,,,,,,,,,,215
Sunrisers Hyderabad,18,5,0.1,5.7,mandatory,S Arora,Arshdeep Singh,H Klaasen,,0,0,0,,,,,,,,S Arora,caught,,,,,XC Bartlett,,,215
Sunrisers Hyderabad,18,6,0.1,5.7,mandatory,Nithish Kumar Reddy,Arshdeep Singh,H Klaasen,,0,0,0,,,Punjab Kings,R Pandit,Nithish Kumar Reddy,struck down,wicket,,,,,,,,,,215
Sunrisers Hyderabad,19,1,0.1,5.7,mandatory,H Klaasen,XC Bartlett,Nithish Kumar Reddy,,2,0,2,,,,,,,,,,,,,,,,,217
Sunrisers Hyderabad,19,2,0.1,5.7,mandatory,H Klaasen,XC Bartlett,Nithish Kumar Reddy,,2,0,2,,,,,,,,,,,,,,,,,219
Sunrisers Hyderabad,19,3,0.1,5.7,mandatory,H Klaasen,XC Bartlett,Nithish Kumar Reddy,,0,0,0,,,Punjab Kings,A Bengeri,H Klaasen,struck down,wicket,,,,,,,,,,219
Sunrisers Hyderabad,19,4,0.1,5.7,mandatory,H Klaasen,XC Bartlett,Nithish Kumar Reddy,,0,0,0,,,,,,,,H Klaasen,caught,,,,,C Connolly,,,219
Sunrisers Hyderabad,19,5,0.1,5.7,mandatory,Harsh Dubey,XC Bartlett,Nithish Kumar Reddy,,0,0,0,,,,,,,,,,,,,,,,,219
Sunrisers Hyderabad,19,6,0.1,5.7,mandatory,Harsh Dubey,XC Bartlett,Nithish Kumar Reddy,,1,0,1,,,,,,,,,,,,,,,,,220
Punjab Kings,0,1,0.1,5.6,mandatory,Priyansh Arya,Harsh Dubey,P Simran Singh,,4,0,4,,,,,,,,,,JD Unadkat,TM Head,Sunrisers Hyderabad,impact_player,,20.0,220.0,4
Punjab Kings,0,2,0.1,5.6,mandatory,Priyansh Arya,Harsh Dubey,P Simran Singh,,2,0,2,,,,,,,,,,,,,,,20.0,220.0,6
Punjab Kings,0,3,0.1,5.6,mandatory,Priyansh Arya,Harsh Dubey,P Simran Singh,,0,0,0,,,Sunrisers Hyderabad,A Bengeri,Priyansh Arya,struck down,wicket,,,,,,,,20.0,220.0,6
Punjab Kings,0,4,0.1,5.6,mandatory,Priyansh Arya,Harsh Dubey,P Simran Singh,,2,0,2,,,,,,,,,,,,,,,20.0,220.0,8
Punjab Kings,0,5,0.1,5.6,mandatory,Priyansh Arya,Harsh Dubey,P Simran Singh,,6,0,6,,,,,,,,,,,,,,,20.0,220.0,14
Punjab Kings,0,6,0.1,5.6,mandatory,Priyansh Arya,Harsh Dubey,P Simran Singh,,4,0,4,,,,,,,,,,,,,,,20.0,220.0,18
Punjab Kings,1,1,0.1,5.6,mandatory,P Simran Singh,JD Unadkat,Priyansh Arya,,4,0,4,,,,,,,,,,,,,,,20.0,220.0,22
Punjab Kings,1,2,0.1,5.6,mandatory,P Simran Singh,JD Unadkat,Priyansh Arya,,0,0,0,,,,,,,,,,,,,,,20.0,220.0,22
Punjab Kings,1,3,0.1,5.6,mandatory,P Simran Singh,JD Unadkat,Priyansh Arya,,6,0,6,,,,,,,,,,,,,,,20.0,220.0,28
Punjab Kings,1,4,0.1,5.6,mandatory,P Simran Singh,JD Unadkat,Priyansh Arya,,1,0,1,,,,,,,,,,,,,,,20.0,220.0,29
Punjab Kings,1,5,0.1,5.6,mandatory,Priyansh Arya,JD Unadkat,P Simran Singh,,0,0,0,,,,,,,,,,,,,,,20.0,220.0,29
Punjab Kings,1,6,0.1,5.6,mandatory,Priyansh Arya,JD Unadkat,P Simran Singh,,0,0,0,,,,,,,,,,,,,,,20.0,220.0,29
Punjab Kings,2,1,0.1,5.6,mandatory,P Simran Singh,E Malinga,Priyansh Arya,,6,0,6,,,,,,,,,,,,,,,20.0,220.0,35
Punjab Kings,2,2,0.1,5.6,mandatory,P Simran Singh,E Malinga,Priyansh Arya,,0,0,0,,,,,,,,,,,,,,,20.0,220.0,35
Punjab Kings,2,3,0.1,5.6,mandatory,P Simran Singh,E Malinga,Priyansh Arya,,4,0,4,,,,,,,,,,,,,,,20.0,220.0,39
Punjab Kings,2,4,0.1,5.6,mandatory,P Simran Singh,E Malinga,Priyansh Arya,,0,0,0,,,,,,,,,,,,,,,20.0,220.0,39
Punjab Kings,2,5,0.1,5.6,mandatory,P Simran Singh,E Malinga,Priyansh Arya,,0,0,0,,,,,,,,,,,,,,,20.0,220.0,39
Punjab Kings,2,6,0.1,5.6,mandatory,P Simran Singh,E Malinga,Priyansh Arya,,1,0,1,,,,,,,,,,,,,,,20.0,220.0,40
Punjab Kings,3,1,0.1,5.6,mandatory,P Simran Singh,JD Unadkat,Priyansh Arya,,6,0,6,,,,,,,,,,,,,,,20.0,220.0,46
Punjab Kings,3,2,0.1,5.6,mandatory,P Simran Singh,JD Unadkat,Priyansh Arya,,0,0,0,,,,,,,,,,,,,,,20.0,220.0,46
Punjab Kings,3,3,0.1,5.6,mandatory,P Simran Singh,JD Unadkat,Priyansh Arya,,6,0,6,,,,,,,,,,,,,,,20.0,220.0,52
Punjab Kings,3,4,0.1,5.6,mandatory,P Simran Singh,JD Unadkat,Priyansh Arya,,1,0,1,,,,,,,,,,,,,,,20.0,220.0,53
