team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,noballs,byes,review_by,review_umpire,review_batter,review_decision,review_type,umpires_call,legbyes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Royal Challengers Bengaluru,17,6,0.1,5.6,mandatory,VR Iyer,Arshdeep Singh,TH David,0,0,0,,,,,,,,,,,,,,,,,,,,200
Royal Challengers Bengaluru,18,1,0.1,5.6,mandatory,TH David,Azmatullah Omarzai,VR Iyer,2,0,2,,,,,,,,,,,,,MP Stoinis,YS Chahal,Punjab Kings,impact_player,,,,202
Royal Challengers Bengaluru,18,2,0.1,5.6,mandatory,TH David,Azmatullah Omarzai,VR Iyer,1,0,1,,,,,,,,,,,,,,,,,,,,203
Royal Challengers Bengaluru,18,3,0.1,5.6,mandatory,VR Iyer,Azmatullah Omarzai,TH David,0,0,0,,,,,,,,,,,,,,,,,,,,203
Royal Challengers Bengaluru,18,4,0.1,5.6,mandatory,VR Iyer,Azmatullah Omarzai,TH David,0,0,0,,,,Punjab Kings,AT Holdstock,VR Iyer,struck down,wicket,,,,,,,,,,,,203
Royal Challengers Bengaluru,18,5,0.1,5.6,mandatory,VR Iyer,Azmatullah Omarzai,TH David,1,0,1,,,,,,,,,,,,,,,,,,,,204
Royal Challengers Bengaluru,18,6,0.1,5.6,mandatory,TH David,Azmatullah Omarzai,VR Iyer,4,0,4,,,,,,,,,,,,,,,,,,,,208
Royal Challengers Bengaluru,19,1,0.1,5.6,mandatory,VR Iyer,Arshdeep Singh,TH David,1,0,1,,,,,,,,,,,,,,,,,,,,209
Royal Challengers Bengaluru,19,2,0.1,5.6,mandatory,TH David,Arshdeep Singh,VR Iyer,0,1,1,1.0,,,,,,,,,,,,,,,,,,,210
Royal Challengers Bengaluru,19,3,0.1,5.6,mandatory,TH David,Arshdeep Singh,VR Iyer,1,0,1,,,,,,,,,,,,,,,,,,,,211
Royal Challengers Bengaluru,19,4,0.1,5.6,mandatory,VR Iyer,Arshdeep Singh,TH David,1,0,1,,,,,,,,,,,,,,,,,,,,212
Royal Challengers Bengaluru,19,5,0.1,5.6,mandatory,TH David,Arshdeep Singh,VR Iyer,6,0,6,,,,,,,,,,,,,,,,,,,,218
Royal Challengers Bengaluru,19,6,0.1,5.6,mandatory,TH David,Arshdeep Singh,VR Iyer,4,0,4,,,,,,,,,,,,,,,,,,,,222
Royal Challengers Bengaluru,19,7,0.1,5.6,mandatory,TH David,Arshdeep Singh,VR Iyer,0,0,0,,,,,,,,,,,TH David,caught,,,,,Harpreet Brar,,,222
Punjab Kings,0,1,0.1,5.6,mandatory,Priyansh Arya,B Kumar,P Simran Singh,0,0,0,,,,,,,,,,,,,,,,,,20.0,223.0,0
Punjab Kings,0,2,0.1,5.6,mandatory,Priyansh Arya,B Kumar,P Simran Singh,0,1,1,1.0,,,,,,,,,,,,,,,,,20.0,223.0,1
Punjab Kings,0,3,0.1,5.6,mandatory,Priyansh Arya,B Kumar,P Simran Singh,0,0,0,,,,,,,,,,,,,,,,,,20.0,223.0,1
Punjab Kings,0,4,0.1,5.6,mandatory,Priyansh Arya,B Kumar,P Simran Singh,0,0,0,,,,,,,,,,,Priyansh Arya,caught,,,,,R Shepherd,20.0,223.0,1
Punjab Kings,0,5,0.1,5.6,mandatory,C Connolly,B Kumar,P Simran Singh,4,0,4,,,,,,,,,,,,,,,,,,20.0,223.0,5
Punjab Kings,0,6,0.1,5.6,mandatory,C Connolly,B Kumar,P Simran Singh,0,0,0,,,,,,,,,,,,,,,,,,20.0,223.0,5
