team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,noballs,batter_runs,extra_runs,total_runs,review_by,review_umpire,review_batter,review_decision,review_type,wides,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Sunrisers Hyderabad,1,3,0.1,5.6,mandatory,TM Head,SH Johnson,Abhishek Sharma,,4,0,4,,,,,,,,,,,,,,20.0,181.0,15
Sunrisers Hyderabad,1,4,0.1,5.6,mandatory,TM Head,SH Johnson,Abhishek Sharma,,0,0,0,,,,,,,,,,,,,,20.0,181.0,15
Sunrisers Hyderabad,1,5,0.1,5.6,mandatory,TM Head,SH Johnson,Abhishek Sharma,,0,0,0,,,,,,,,,,,,,,20.0,181.0,15
Sunrisers Hyderabad,1,6,0.1,5.6,mandatory,TM Head,SH Johnson,Abhishek Sharma,,0,0,0,,,,,,,,,,,,,,20.0,181.0,15
Sunrisers Hyderabad,2,1,0.1,5.6,mandatory,Abhishek Sharma,Mukesh Choudhary,TM Head,,1,0,1,,,,,,,,,,,,,,20.0,181.0,16
Sunrisers Hyderabad,2,2,0.1,5.6,mandatory,TM Head,Mukesh Choudhary,Abhishek Sharma,,2,0,2,,,,,,,,,,,,,,20.0,181.0,18
Sunrisers Hyderabad,2,3,0.1,5.6,mandatory,TM Head,Mukesh Choudhary,Abhishek Sharma,,0,0,0,,,,,,,TM Head,caught and bowled,,,,,,20.0,181.0,18
Sunrisers Hyderabad,2,4,0.1,5.6,mandatory,Ishan Kishan,Mukesh Choudhary,Abhishek Sharma,,0,0,0,,,,,,,,,,,,,,20.0,181.0,18
Sunrisers Hyderabad,2,5,0.1,5.6,mandatory,Ishan Kishan,Mukesh Choudhary,Abhishek Sharma,,0,0,0,,,,,,,,,,,,,,20.0,181.0,18
Sunrisers Hyderabad,2,6,0.1,5.6,mandatory,Ishan Kishan,Mukesh Choudhary,Abhishek Sharma,,1,0,1,,,,,,,,,,,,,,20.0,181.0,19
Sunrisers Hyderabad,3,1,0.1,5.6,mandatory,Ishan Kishan,SH Johnson,Abhishek Sharma,,4,0,4,,,,,,,,,,,,,,20.0,181.0,23
Sunrisers Hyderabad,3,2,0.1,5.6,mandatory,Ishan Kishan,SH Johnson,Abhishek Sharma,,0,0,0,,,,,,,,,,,,,,20.0,181.0,23
Sunrisers Hyderabad,3,3,0.1,5.6,mandatory,Ishan Kishan,SH Johnson,Abhishek Sharma,,0,0,0,,,,,,,,,,,,,,20.0,181.0,23
Sunrisers Hyderabad,3,4,0.1,5.6,mandatory,Ishan Kishan,SH Johnson,Abhishek Sharma,,4,0,4,,,,,,,,,,,,,,20.0,181.0,27
Sunrisers Hyderabad,3,5,0.1,5.6,mandatory,Ishan Kishan,SH Johnson,Abhishek Sharma,,0,0,0,,,,,,,,,,,,,,20.0,181.0,27
Sunrisers Hyderabad,3,6,0.1,5.6,mandatory,Ishan Kishan,SH Johnson,Abhishek Sharma,,4,0,4,,,,,,,,,,,,,,20.0,181.0,31
Sunrisers Hyderabad,4,1,0.1,5.6,mandatory,Abhishek Sharma,Mukesh Choudhary,Ishan Kishan,,4,0,4,,,,,,,,,,,,,,20.0,181.0,35
Sunrisers Hyderabad,4,2,0.1,5.6,mandatory,Abhishek Sharma,Mukesh Choudhary,Ishan Kishan,,1,0,1,,,,,,,,,,,,,,20.0,181.0,36
Sunrisers Hyderabad,4,3,0.1,5.6,mandatory,Ishan Kishan,Mukesh Choudhary,Abhishek Sharma,,0,0,0,,,,,,,,,,,,,,20.0,181.0,36
Sunrisers Hyderabad,4,4,0.1,5.6,mandatory,Ishan Kishan,Mukesh Choudhary,Abhishek Sharma,,0,0,0,,,,,,,,,,,,,,20.0,181.0,36
