team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,legbyes,wides,noballs,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Punjab Kings,5,3,0.1,5.6,mandatory,SS Iyer,JJ Bumrah,P Simran Singh,1,0,1,,,,,,,,,,,20.0,196.0,57
Punjab Kings,5,4,0.1,5.6,mandatory,P Simran Singh,JJ Bumrah,SS Iyer,0,0,0,,,,,,,,,,,20.0,196.0,57
Punjab Kings,5,5,0.1,5.6,mandatory,P Simran Singh,JJ Bumrah,SS Iyer,0,0,0,,,,,,,,,,,20.0,196.0,57
Punjab Kings,5,6,0.1,5.6,mandatory,P Simran Singh,JJ Bumrah,SS Iyer,4,0,4,,,,,,,,,,,20.0,196.0,61
Punjab Kings,6,1,0.1,5.6,mandatory,SS Iyer,SN Thakur,P Simran Singh,1,0,1,,,,,,,,,,,20.0,196.0,62
Punjab Kings,6,2,0.1,5.6,mandatory,P Simran Singh,SN Thakur,SS Iyer,2,0,2,,,,,,,,,,,20.0,196.0,64
Punjab Kings,6,3,0.1,5.6,mandatory,P Simran Singh,SN Thakur,SS Iyer,0,1,1,,1.0,,,,,,,,,20.0,196.0,65
Punjab Kings,6,4,0.1,5.6,mandatory,P Simran Singh,SN Thakur,SS Iyer,1,0,1,,,,,,,,,,,20.0,196.0,66
Punjab Kings,6,5,0.1,5.6,mandatory,SS Iyer,SN Thakur,P Simran Singh,0,1,1,,1.0,,,,,,,,,20.0,196.0,67
Punjab Kings,6,6,0.1,5.6,mandatory,SS Iyer,SN Thakur,P Simran Singh,1,0,1,,,,,,,,,,,20.0,196.0,68
Punjab Kings,6,7,0.1,5.6,mandatory,P Simran Singh,SN Thakur,SS Iyer,1,0,1,,,,,,,,,,,20.0,196.0,69
Punjab Kings,6,8,0.1,5.6,mandatory,SS Iyer,SN Thakur,P Simran Singh,0,0,0,,,,,,,,,,,20.0,196.0,69
Punjab Kings,7,1,0.1,5.6,mandatory,P Simran Singh,DL Chahar,SS Iyer,2,0,2,,,,,,,,,,,20.0,196.0,71
Punjab Kings,7,2,0.1,5.6,mandatory,P Simran Singh,DL Chahar,SS Iyer,6,0,6,,,,,,,,,,,20.0,196.0,77
Punjab Kings,7,3,0.1,5.6,mandatory,P Simran Singh,DL Chahar,SS Iyer,4,0,4,,,,,,,,,,,20.0,196.0,81
Punjab Kings,7,4,0.1,5.6,mandatory,P Simran Singh,DL Chahar,SS Iyer,1,0,1,,,,,,,,,,,20.0,196.0,82
Punjab Kings,7,5,0.1,5.6,mandatory,SS Iyer,DL Chahar,P Simran Singh,0,0,0,,,,,,,,,,,20.0,196.0,82
Punjab Kings,7,6,0.1,5.6,mandatory,SS Iyer,DL Chahar,P Simran Singh,1,0,1,,,,,,,,,,,20.0,196.0,83
Punjab Kings,8,1,0.1,5.6,mandatory,SS Iyer,AM Ghazanfar,P Simran Singh,0,0,0,,,,,,,,,,,20.0,196.0,83
Punjab Kings,8,2,0.1,5.6,mandatory,SS Iyer,AM Ghazanfar,P Simran Singh,1,0,1,,,,,,,,,,,20.0,196.0,84
Punjab Kings,8,3,0.1,5.6,mandatory,P Simran Singh,AM Ghazanfar,SS Iyer,1,0,1,,,,,,,,,,,20.0,196.0,85
Punjab Kings,8,4,0.1,5.6,mandatory,SS Iyer,AM Ghazanfar,P Simran Singh,1,0,1,,,,,,,,,,,20.0,196.0,86
Punjab Kings,8,5,0.1,5.6,mandatory,P Simran Singh,AM Ghazanfar,SS Iyer,1,0,1,,,,,,,,,,,20.0,196.0,87
