team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,noballs,legbyes,review_by,review_umpire,review_batter,review_decision,review_type,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,overs_deliveries_replacements.role_in,overs_deliveries_replacements.role_out,overs_deliveries_replacements.role_reason,overs_deliveries_replacements.role_role,fielders_name,target_overs,target_runs,current_team_total
Royal Challengers Bengaluru,16,5,0.1,5.7,mandatory,JM Sharma,JJ Bumrah,TH David,1,0,1,,,,,,,,,,,,,,,,,,,,,,200
Royal Challengers Bengaluru,16,6,0.1,5.7,mandatory,TH David,JJ Bumrah,JM Sharma,1,0,1,,,,,,,,,,,,,,,,,,,,,,201
Royal Challengers Bengaluru,17,1,0.1,5.7,mandatory,TH David,HH Pandya,JM Sharma,4,0,4,,,,,,,,,,,,,,,,,,,,,,205
Royal Challengers Bengaluru,17,2,0.1,5.7,mandatory,TH David,HH Pandya,JM Sharma,0,1,1,,1.0,,,,,,,,,,,,,,,,,,,,206
Royal Challengers Bengaluru,17,3,0.1,5.7,mandatory,TH David,HH Pandya,JM Sharma,6,0,6,,,,,,,,,,,,,,,,,,,,,,212
Royal Challengers Bengaluru,17,4,0.1,5.7,mandatory,TH David,HH Pandya,JM Sharma,1,0,1,,,,,,,,,,,,,,,,,,,,,,213
Royal Challengers Bengaluru,17,5,0.1,5.7,mandatory,JM Sharma,HH Pandya,TH David,2,0,2,,,,,,,,,,,,,,,,,,,,,,215
Royal Challengers Bengaluru,17,6,0.1,5.7,mandatory,JM Sharma,HH Pandya,TH David,0,0,0,,,,,,,,,,,,,,,,,,,,,,215
Royal Challengers Bengaluru,17,7,0.1,5.7,mandatory,JM Sharma,HH Pandya,TH David,2,0,2,,,,,,,,,,,,,,,,,,,,,,217
Royal Challengers Bengaluru,18,1,0.1,5.7,mandatory,TH David,JJ Bumrah,JM Sharma,0,1,1,,,1.0,,,,,,,,,,,,,,,,,,,218
Royal Challengers Bengaluru,18,2,0.1,5.7,mandatory,JM Sharma,JJ Bumrah,TH David,1,0,1,,,,,,,,,,,,,,,,,,,,,,219
Royal Challengers Bengaluru,18,3,0.1,5.7,mandatory,TH David,JJ Bumrah,JM Sharma,4,0,4,,,,,,,,,,,,,,,,,,,,,,223
Royal Challengers Bengaluru,18,4,0.1,5.7,mandatory,TH David,JJ Bumrah,JM Sharma,6,0,6,,,,,,,,,,,,,,,,,,,,,,229
Royal Challengers Bengaluru,18,5,0.1,5.7,mandatory,TH David,JJ Bumrah,JM Sharma,0,0,0,,,,,,,,,,,,,,,,,,,,,,229
Royal Challengers Bengaluru,18,6,0.1,5.7,mandatory,TH David,JJ Bumrah,JM Sharma,1,0,1,,,,,,,,,,,,,,,,,,,,,,230
Royal Challengers Bengaluru,19,1,0.1,5.7,mandatory,TH David,TA Boult,JM Sharma,1,0,1,,,,,,,,,,,,,,,,,,,,,,231
Royal Challengers Bengaluru,19,2,0.1,5.7,mandatory,JM Sharma,TA Boult,TH David,0,0,0,,,,,,,,,JM Sharma,lbw,,,,,,,,,,,,231
Royal Challengers Bengaluru,19,3,0.1,5.7,mandatory,R Shepherd,TA Boult,TH David,1,0,1,,,,,,,,,,,,,,,,,,,,,,232
Royal Challengers Bengaluru,19,4,0.1,5.7,mandatory,TH David,TA Boult,R Shepherd,1,0,1,,,,,,,,,,,,,,,,,,,,,,233
Royal Challengers Bengaluru,19,5,0.1,5.7,mandatory,R Shepherd,TA Boult,TH David,1,0,1,,,,,,,,,,,,,,,,,,,,,,234
Royal Challengers Bengaluru,19,6,0.1,5.7,mandatory,TH David,TA Boult,R Shepherd,6,0,6,,,,,,,,,,,,,,,,,,,,,,240
Mumbai Indians,0,1,0.1,5.6,mandatory,RD Rickelton,JA Duffy,RG Sharma,0,0,0,,,,,,,,,,,Rasikh Salam,TH David,Royal Challengers Bengaluru,impact_player,,,,,,20.0,241.0,0
Mumbai Indians,0,2,0.1,5.6,mandatory,RD Rickelton,JA Duffy,RG Sharma,0,0,0,,,,,,,,,,,,,,,,,,,,20.0,241.0,0
Mumbai Indians,0,3,0.1,5.6,mandatory,RD Rickelton,JA Duffy,RG Sharma,6,0,6,,,,,,,,,,,,,,,,,,,,20.0,241.0,6
Mumbai Indians,0,4,0.1,5.6,mandatory,RD Rickelton,JA Duffy,RG Sharma,0,0,0,,,,,,,,,,,,,,,,,,,,20.0,241.0,6
Mumbai Indians,0,5,0.1,5.6,mandatory,RD Rickelton,JA Duffy,RG Sharma,0,0,0,,,,,,,,,,,,,,,,,,,,20.0,241.0,6
Mumbai Indians,0,6,0.1,5.6,mandatory,RD Rickelton,JA Duffy,RG Sharma,4,0,4,,,,,,,,,,,,,,,,,,,,20.0,241.0,10
Mumbai Indians,1,1,0.1,5.6,mandatory,RG Sharma,B Kumar,RD Rickelton,0,1,1,1.0,,,,,,,,,,,,,,,,,,,20.0,241.0,11
Mumbai Indians,1,2,0.1,5.6,mandatory,RG Sharma,B Kumar,RD Rickelton,0,0,0,,,,,,,,,,,,,,,,,,,,20.0,241.0,11
Mumbai Indians,1,3,0.1,5.6,mandatory,RG Sharma,B Kumar,RD Rickelton,1,0,1,,,,,,,,,,,,,,,,,,,,20.0,241.0,12
Mumbai Indians,1,4,0.1,5.6,mandatory,RD Rickelton,B Kumar,RG Sharma,1,0,1,,,,,,,,,,,,,,,,,,,,20.0,241.0,13
Mumbai Indians,1,5,0.1,5.6,mandatory,RG Sharma,B Kumar,RD Rickelton,1,0,1,,,,,,,,,,,,,,,,,,,,20.0,241.0,14
Mumbai Indians,1,6,0.1,5.6,mandatory,RD Rickelton,B Kumar,RG Sharma,6,0,6,,,,,,,,,,,,,,,,,,,,20.0,241.0,20
Mumbai Indians,1,7,0.1,5.6,mandatory,RD Rickelton,B Kumar,RG Sharma,1,0,1,,,,,,,,,,,,,,,,,,,,20.0,241.0,21
Mumbai Indians,2,1,0.1,5.6,mandatory,RD Rickelton,JA Duffy,RG Sharma,4,0,4,,,,,,,,,,,,,,,,,,,,20.0,241.0,25
Mumbai Indians,2,2,0.1,5.6,mandatory,RD Rickelton,JA Duffy,RG Sharma,0,0,0,,,,,,,,,,,,,,,,,,,,20.0,241.0,25
Mumbai Indians,2,3,0.1,5.6,mandatory,RD Rickelton,JA Duffy,RG Sharma,6,0,6,,,,,,,,,,,,,,,,,,,,20.0,241.0,31
Mumbai Indians,2,4,0.1,5.6,mandatory,RD Rickelton,JA Duffy,RG Sharma,1,0,1,,,,,,,,,,,,,,,,,,,,20.0,241.0,32
Mumbai Indians,2,5,0.1,5.6,mandatory,RG Sharma,JA Duffy,RD Rickelton,6,0,6,,,,,,,,,,,,,,,,,,,,20.0,241.0,38
Mumbai Indians,2,6,0.1,5.6,mandatory,RG Sharma,JA Duffy,RD Rickelton,1,0,1,,,,,,,,,,,,,,,,,,,,20.0,241.0,39
Mumbai Indians,3,1,0.1,5.6,mandatory,RG Sharma,Rasikh Salam,RD Rickelton,4,0,4,,,,,,,,,,,,,,,,,,,,20.0,241.0,43
Mumbai Indians,3,2,0.1,5.6,mandatory,RG Sharma,Rasikh Salam,RD Rickelton,0,0,0,,,,,,,,,,,,,,,,,,,,20.0,241.0,43
Mumbai Indians,3,3,0.1,5.6,mandatory,RG Sharma,Rasikh Salam,RD Rickelton,1,0,1,,,,,,,,,,,,,,,,,,,,20.0,241.0,44
