team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,review_by,review_umpire,review_batter,review_decision,review_type,noballs,legbyes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,overs_deliveries_wickets_fielders_substitute,target_overs,target_runs,current_team_total
Royal Challengers Bengaluru,0,3,0.1,5.6,mandatory,V Kohli,PJ Cummins,VR Iyer,0,0,0,,,,,,,,,,,,,,,,,20.0,256.0,3
Royal Challengers Bengaluru,0,4,0.1,5.6,mandatory,V Kohli,PJ Cummins,VR Iyer,1,0,1,,,,,,,,,,,,,,,,,20.0,256.0,4
Royal Challengers Bengaluru,0,5,0.1,5.6,mandatory,VR Iyer,PJ Cummins,V Kohli,4,0,4,,,,,,,,,,,,,,,,,20.0,256.0,8
Royal Challengers Bengaluru,0,6,0.1,5.6,mandatory,VR Iyer,PJ Cummins,V Kohli,6,0,6,,,,,,,,,,,,,,,,,20.0,256.0,14
Royal Challengers Bengaluru,1,1,0.1,5.6,mandatory,V Kohli,E Malinga,VR Iyer,1,0,1,,,,,,,,,,,,,,,,,20.0,256.0,15
Royal Challengers Bengaluru,1,2,0.1,5.6,mandatory,VR Iyer,E Malinga,V Kohli,0,0,0,,,,,,,,,,,,,,,,,20.0,256.0,15
Royal Challengers Bengaluru,1,3,0.1,5.6,mandatory,VR Iyer,E Malinga,V Kohli,0,0,0,,,,,,,,,,,,,,,,,20.0,256.0,15
Royal Challengers Bengaluru,1,4,0.1,5.6,mandatory,VR Iyer,E Malinga,V Kohli,0,0,0,,,,,,,,,,,,,,,,,20.0,256.0,15
Royal Challengers Bengaluru,1,5,0.1,5.6,mandatory,VR Iyer,E Malinga,V Kohli,0,0,0,,,,,,,,,,,,,,,,,20.0,256.0,15
Royal Challengers Bengaluru,1,6,0.1,5.6,mandatory,VR Iyer,E Malinga,V Kohli,4,0,4,,,,,,,,,,,,,,,,,20.0,256.0,19
Royal Challengers Bengaluru,2,1,0.1,5.6,mandatory,V Kohli,PJ Cummins,VR Iyer,4,0,4,,,,,,,,,,,,,,,,,20.0,256.0,23
Royal Challengers Bengaluru,2,2,0.1,5.6,mandatory,V Kohli,PJ Cummins,VR Iyer,4,0,4,,,,,,,,,,,,,,,,,20.0,256.0,27
Royal Challengers Bengaluru,2,3,0.1,5.6,mandatory,V Kohli,PJ Cummins,VR Iyer,0,1,1,1.0,,,,,,,,,,,,,,,,20.0,256.0,28
Royal Challengers Bengaluru,2,4,0.1,5.6,mandatory,V Kohli,PJ Cummins,VR Iyer,1,0,1,,,,,,,,,,,,,,,,,20.0,256.0,29
Royal Challengers Bengaluru,2,5,0.1,5.6,mandatory,VR Iyer,PJ Cummins,V Kohli,4,0,4,,,,,,,,,,,,,,,,,20.0,256.0,33
Royal Challengers Bengaluru,2,6,0.1,5.6,mandatory,VR Iyer,PJ Cummins,V Kohli,0,0,0,,,,,,,,,,,,,,,,,20.0,256.0,33
Royal Challengers Bengaluru,2,7,0.1,5.6,mandatory,VR Iyer,PJ Cummins,V Kohli,1,0,1,,,,,,,,,,,,,,,,,20.0,256.0,34
Royal Challengers Bengaluru,3,1,0.1,5.6,mandatory,VR Iyer,Shivang Kumar,V Kohli,6,0,6,,,,,,,,,,,,,,,,,20.0,256.0,40
